price,neighbourhood,latitude,longitude,room_type,availability_365
75,Broadmoor,29.9524839,-90.10604715,Entire home/apt,365
76,Broadmoor,29.94553697,-90.10756599,Private room,180
335,Broadmoor,29.94176257,-90.10380604,Entire home/apt,302
485,Broadmoor,29.94619244,-90.10312681,Entire home/apt,306
125,Broadmoor,29.94687805,-90.10049962,Entire home/apt,302
125,Broadmoor,29.95174568,-90.10277494,Entire home/apt,354
650,Broadmoor,29.94060091,-90.10622221,Entire home/apt,0
195,Broadmoor,29.94122916,-90.10658728,Entire home/apt,166
53,Broadmoor,29.94676969,-90.10518036,Private room,284
160,Broadmoor,29.94947455,-90.10892803,Entire home/apt,242
100,Broadmoor,29.94668941,-90.0996501,Entire home/apt,86
250,Broadmoor,29.94535499,-90.10734392,Entire home/apt,279
165,Broadmoor,29.94391864,-90.1083316,Entire home/apt,308
400,Broadmoor,29.95383076,-90.10560808,Entire home/apt,341
75,Broadmoor,29.95305785,-90.10491045,Entire home/apt,365
175,Broadmoor,29.94868012,-90.10753067,Entire home/apt,7
37,Broadmoor,29.94477903,-90.10554724,Private room,65
65,Broadmoor,29.94916856,-90.10180704,Private room,363
75,Broadmoor,29.9437895,-90.10812813,Private room,59
330,Broadmoor,29.94426698,-90.1073059,Entire home/apt,365
60,Broadmoor,29.95154108,-90.10136245,Private room,167
195,Broadmoor,29.94196388,-90.10537911,Entire home/apt,77
215,Broadmoor,29.94828746,-90.10824802,Entire home/apt,152
50,Broadmoor,29.94789174,-90.10322204,Private room,208
89,Broadmoor,29.94603778,-90.10028643,Entire home/apt,346
60,Broadmoor,29.94687119,-90.10043725,Private room,350
60,Broadmoor,29.94444334,-90.10673747,Private room,28
35,Broadmoor,29.9542789,-90.1045008,Private room,78
150,Broadmoor,29.9482511,-90.10639785,Entire home/apt,341
150,Broadmoor,29.94472292,-90.1063878,Entire home/apt,351
100,Broadmoor,29.94333747,-90.10181314,Entire home/apt,90
71,Broadmoor,29.94956817,-90.10867433,Private room,363
1000,Broadmoor,29.94825407,-90.10294828,Entire home/apt,365
70,Bywater,29.96613816,-90.04642652,Private room,0
74,Bywater,29.96268828,-90.04037127,Private room,362
175,Bywater,29.96380162,-90.03841613,Entire home/apt,294
130,Bywater,29.9604631,-90.0326965,Entire home/apt,363
109,Bywater,29.96113506,-90.03103125,Private room,303
45,Bywater,29.96741434,-90.04805939,Private room,113
60,Bywater,29.96260336,-90.03985087,Private room,344
80,Bywater,29.97122762,-90.03058863,Entire home/apt,365
122,Bywater,29.96268158,-90.04400547,Entire home/apt,16
59,Bywater,29.96078948,-90.0399021,Private room,87
135,Bywater,29.96172549,-90.03425425,Entire home/apt,132
250,Bywater,29.96293717,-90.05010076,Entire home/apt,343
130,Bywater,29.96325716,-90.0312343,Entire home/apt,300
109,Bywater,29.9632489,-90.04052957,Entire home/apt,352
225,Bywater,29.96234183,-90.04269442,Entire home/apt,128
59,Bywater,29.96863729,-90.0311234,Private room,42
160,Bywater,29.96528763,-90.04574213,Entire home/apt,230
125,Bywater,29.96198148,-90.03820001,Entire home/apt,365
45,Bywater,29.96325472,-90.03001786,Private room,365
175,Bywater,29.96379041,-90.04388458,Entire home/apt,332
135,Bywater,29.95948404,-90.03437672,Entire home/apt,150
115,Bywater,29.96333556,-90.04055127,Entire home/apt,352
230,Bywater,29.96497339,-90.04431115,Private room,365
125,Bywater,29.96878298,-90.04870076,Entire home/apt,15
249,Bywater,29.9672233,-90.04909023,Entire home/apt,365
295,Bywater,29.96265939,-90.04364971,Entire home/apt,365
100,Bywater,29.96618476,-90.04856043,Entire home/apt,327
545,Bywater,29.96688264,-90.04525492,Entire home/apt,0
325,Bywater,29.96323252,-90.04146989,Entire home/apt,317
150,Bywater,29.96307594,-90.04338245,Entire home/apt,365
70,Bywater,29.96792797,-90.04509084,Private room,2
110,Bywater,29.96564693,-90.05007091,Private room,363
60,Bywater,29.96238157,-90.03517565,Private room,299
89,Bywater,29.96477382,-90.04889911,Entire home/apt,267
125,Bywater,29.96329287,-90.03706659,Entire home/apt,39
100,Bywater,29.96559476,-90.04513689,Entire home/apt,27
65,Bywater,29.96500549,-90.04583822,Entire home/apt,238
115,Bywater,29.96473734,-90.05116762,Entire home/apt,117
200,Bywater,29.96216171,-90.0339492,Entire home/apt,175
150,Bywater,29.96193713,-90.04486013,Entire home/apt,162
90,Bywater,29.96229624,-90.0369589,Entire home/apt,62
